団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
124095,千葉県,山武郡芝山町,6,6,0
124109,千葉県,山武郡横芝光町,18,18,0
124214,千葉県,長生郡一宮町,6,7,1
124222,千葉県,長生郡睦沢町,4,4,0
124231,千葉県,長生郡長生村,6,6,0
124249,千葉県,長生郡白子町,5,5,0
124265,千葉県,長生郡長柄町,9,9,0
124435,千葉県,夷隅郡御宿町,2,2,0
130001,東京都,,5168,5214,46
131016,東京都,千代田区,312,315,3
131024,東京都,中央区,217,218,1
131032,東京都,港区,369,371,2
131041,東京都,新宿区,289,291,2
131059,東京都,文京区,124,124,0
131067,東京都,台東区,126,126,0
131075,東京都,墨田区,84,84,0
131083,東京都,江東区,205,205,0
131091,東京都,品川区,192,194,2
131105,東京都,目黒区,84,84,0
131113,東京都,大田区,221,222,1
131121,東京都,世田谷区,284,284,0
131130,東京都,渋谷区,278,278,0
131148,東京都,中野区,112,113,1
131156,東京都,杉並区,137,137,0
131164,東京都,豊島区,141,143,2
131172,東京都,北区,100,100,0
131181,東京都,荒川区,62,62,0
131199,東京都,板橋区,139,141,2
131202,東京都,練馬区,176,179,3
131211,東京都,足立区,192,192,0
131229,東京都,葛飾区,108,108,0
131237,東京都,江戸川区,173,173,0
132012,東京都,八王子市,133,136,3
132021,東京都,立川市,42,44,2
132039,東京都,武蔵野市,29,30,1
132047,東京都,三鷹市,50,51,1
132055,東京都,青梅市,33,33,0
132063,東京都,府中市,51,52,1
132071,東京都,昭島市,24,27,3
132080,東京都,調布市,38,38,0
132098,東京都,町田市,96,97,1
132101,東京都,小金井市,42,42,0
132110,東京都,小平市,52,52,0
132128,東京都,日野市,83,86,3
132136,東京都,東村山市,30,31,1
132144,東京都,国分寺市,27,29,2
132152,東京都,国立市,18,19,1
132187,東京都,福生市,8,8,0
132195,東京都,狛江市,35,35,0
132209,東京都,東大和市,21,21,0
132217,東京都,清瀬市,34,34,0
132225,東京都,東久留米市,23,23,0
132233,東京都,武蔵村山市,17,18,1
132241,東京都,多摩市,63,65,2
132250,東京都,稲城市,13,14,1
132276,東京都,羽村市,11,12,1
132284,東京都,あきる野市,19,20,1
132292,東京都,西東京市,24,26,2
133035,東京都,西多摩郡瑞穂町,11,11,0
133051,東京都,西多摩郡日の出町,5,5,0
133086,東京都,西多摩郡奥多摩町,5,5,0
133647,東京都,神津島村,1,1,0
134210,東京都,小笠原村,5,5,0
140007,神奈川県,,2007,2033,26
141011,神奈川県,横浜市鶴見区,72,72,0
141020,神奈川県,横浜市神奈川区,89,89,0
141038,神奈川県,横浜市西区,86,86,0
141046,神奈川県,横浜市中区,62,62,0
141054,神奈川県,横浜市南区,30,30,0
141062,神奈川県,横浜市保土ケ谷区,49,49,0
141071,神奈川県,横浜市磯子区,25,25,0
141089,神奈川県,横浜市金沢区,60,60,0
141097,神奈川県,横浜市港北区,39,39,0
141101,神奈川県,横浜市戸塚区,56,56,0
141119,神奈川県,横浜市港南区,33,33,0
141127,神奈川県,横浜市旭区,58,58,0
141135,神奈川県,横浜市緑区,44,44,0
141143,神奈川県,横浜市瀬谷区,27,27,0
141151,神奈川県,横浜市栄区,20,20,0
141160,神奈川県,横浜市泉区,24,25,1
141178,神奈川県,横浜市青葉区,48,51,3
141186,神奈川県,横浜市都筑区,33,33,0
141313,神奈川県,川崎市川崎区,121,121,0
141321,神奈川県,川崎市幸区,46,46,0
141330,神奈川県,川崎市中原区,37,38,1
141348,神奈川県,川崎市高津区,65,65,0
141356,神奈川県,川崎市多摩区,35,36,1
141364,神奈川県,川崎市宮前区,26,26,0
141372,神奈川県,川崎市麻生区,27,28,1
141518,神奈川県,相模原市緑区,65,65,0
141526,神奈川県,相模原市中央区,35,36,1
141534,神奈川県,相模原市南区,46,47,1
142018,神奈川県,横須賀市,111,113,2
142034,神奈川県,平塚市,40,41,1
142042,神奈川県,鎌倉市,52,53,1
142051,神奈川県,藤沢市,57,60,3
142069,神奈川県,小田原市,24,24,0
142077,神奈川県,茅ヶ崎市,43,45,2
142085,神奈川県,逗子市,5,5,0
142107,神奈川県,三浦市,13,14,1
142115,神奈川県,秦野市,35,35,0
142123,神奈川県,厚木市,45,46,1
142131,神奈川県,大和市,34,38,4
142140,神奈川県,伊勢原市,19,19,0
142158,神奈川県,海老名市,32,32,0
142166,神奈川県,座間市,48,49,1
142174,神奈川県,南足柄市,7,7,0
142182,神奈川県,綾瀬市,28,28,0
143014,神奈川県,三浦郡葉山町,5,5,0
143219,神奈川県,高座郡寒川町,4,4,0
143413,神奈川県,中郡大磯町,6,6,0
143421,神奈川県,中郡二宮町,5,5,0
143618,神奈川県,足柄上郡中井町,3,3,0
143626,神奈川県,足柄上郡大井町,6,6,0
143642,神奈川県,足柄上郡山北町,1,1,0
143669,神奈川県,足柄上郡開成町,4,4,0
143839,神奈川県,足柄下郡真鶴町,5,6,1
143847,神奈川県,足柄下郡湯河原町,7,7,0
144011,神奈川県,愛甲郡愛川町,9,9,0
144029,神奈川県,愛甲郡清川村,1,1,0
190004,山梨県,,57,57,0
192015,山梨県,甲府市,22,22,0
192023,山梨県,富士吉田市,1,1,0
192082,山梨県,南アルプス市,6,6,0
192104,山梨県,甲斐市,22,22,0
192112,山梨県,笛吹市,1,1,0
192121,山梨県,上野原市,1,1,0
192147,山梨県,中央市,1,1,0
193682,山梨県,南巨摩郡富士川町,3,3,0
